name, mean
microbenchmark*, 1.53
product-photos-receive*, 1.33
product-master-photos*, 1,06
product-master-request, 1.11
product-photos-assign, 1.02
product-photos-message, 1.71
product-photos-record, 1.08
product-photos-success, 0.92
product-photos-report, 1.03
product-purchase-authenticate, 1.025
product-purchase-getprice, 1.52
product-purchase-authorize-cc, 1.16
product-purchase-publish, 1.06
product-catalog-api-categories, 1.02
product-catalog-api-products, 1.02
product-catalog-builder-image, 1.19
product-catalog-builder-product, 1.02
