name, mean
microbenchmark*, 3.03
product-photos-receive*, 4.38
product-master-photos*, 4.05
product-master-request, 2.37
product-photos-assign, 2.85
product-photos-message, 5.0
product-photos-record, 1.45
product-photos-success, 3.61
product-photos-report, 3.98
product-purchase-authenticate, 2.025
product-purchase-getprice, 2.89
product-purchase-authorize-cc, 2.08
product-purchase-publish, 4.27
product-catalog-api-categories, 5.0
product-catalog-api-products, 5.0
product-catalog-builder-image, 1.22
product-catalog-builder-product, 1.31
